"subjectid_text","batchid_text","subjectid_text.1"
"Fst1","batch_0","Fst1"
"Fst2","0","Fst2"
"Fst3","1","Fst3"
"Fst4","0","Fst4"
"Fst5","0","Fst5"
"Fst6","1","Fst6"
"Fst7","0","Fst7"
"Fst8","0","Fst8"
"Fst9","0","Fst9"
"Fst10","1","Fst10"
"Fst11","0","Fst11"
"Fst12","0","Fst12"
"Fst13","0","Fst13"
"Fst14","1","Fst14"
"Fst15","0","Fst15"
"Fst16","1","Fst16"
"Fst17","0","Fst17"
"Fst18","1","Fst18"
"Fst19","1","Fst19"
"Fst20","0","Fst20"
"Fst21","0","Fst21"
"Fst22","1","Fst22"
"Fst23","0","Fst23"
"Fst24","0","Fst24"
"Fst25","0","Fst25"
"Fst26","1","Fst26"
"Fst27","0","Fst27"
"Fst28","1","Fst28"
"Fst29","0","Fst29"
"Fst30","1","Fst30"
"Fst31","1","Fst31"
"Fst32","1","Fst32"
"Fst33","1","Fst33"
"Fst34","1","Fst34"
"Fst35","1","Fst35"
"Fst36","1","Fst36"
"Fst37","0","Fst37"
"Fst38","0","Fst38"
"Fst39","0","Fst39"
"Fst40","1","Fst40"
"Fst41","1","Fst41"
"Fst42","1","Fst42"
"Fst43","1","Fst43"
"Fst44","0","Fst44"
"Fst45","1","Fst45"
"Fst46","0","Fst46"
"Fst47","1","Fst47"
"Fst48","0","Fst48"
"Fst49","0","Fst49"
"Fst50","1","Fst50"
"Fst51","0","Fst51"
"Fst52","0","Fst52"
"Fst53","1","Fst53"
"Fst54","1","Fst54"
"Fst55","0","Fst55"
"Fst56","0","Fst56"
"Fst57","1","Fst57"
"Fst58","0","Fst58"
"Fst59","1","Fst59"
"Fst60","0","Fst60"
"Fst61","1","Fst61"
"Fst62","1","Fst62"
"Fst63","0","Fst63"
"Fst64","1","Fst64"
"Fst65","0","Fst65"
"Fst66","0","Fst66"
"Fst67","1","Fst67"
"Fst68","1","Fst68"
"Fst69","0","Fst69"
"Fst70","0","Fst70"
"Fst71","0","Fst71"
"Fst72","1","Fst72"
"Fst73","0","Fst73"
"Fst74","0","Fst74"
"Fst75","0","Fst75"
"Fst76","1","Fst76"
"Fst77","1","Fst77"
"Fst78","1","Fst78"
"Fst79","1","Fst79"
"Fst80","0","Fst80"
"Fst81","1","Fst81"
"Fst82","0","Fst82"
"Fst83","1","Fst83"
"Fst84","0","Fst84"
"Fst85","0","Fst85"
"Fst86","0","Fst86"
"Fst87","0","Fst87"
"Fst88","1","Fst88"
"Fst89","0","Fst89"
"Fst90","1","Fst90"
"Fst91","0","Fst91"
"Fst92","1","Fst92"
"Fst93","0","Fst93"
"Fst94","0","Fst94"
"Fst95","0","Fst95"
"Fst96","1","Fst96"
"Fst97","0","Fst97"
"Fst98","1","Fst98"
"Fst99","0","Fst99"
"Fst100","1","Fst100"
"Fst101","0","Fst101"
"Fst102","0","Fst102"
"Fst103","1","Fst103"
"Fst104","0","Fst104"
"Fst105","0","Fst105"
"Fst106","0","Fst106"
"Fst107","1","Fst107"
"Fst108","0","Fst108"
"Fst109","1","Fst109"
"Fst110","1","Fst110"
"Fst111","1","Fst111"
"Fst112","1","Fst112"
"Fst113","1","Fst113"
"Fst114","1","Fst114"
"Fst115","1","Fst115"
"Fst116","1","Fst116"
"Fst117","1","Fst117"
"Fst118","1","Fst118"
"Fst119","1","Fst119"
"Fst120","0","Fst120"
"Fst121","1","Fst121"
